210,9.33E-01
211,0.93265
212,9.33E-01
213,9.34E-01
214,9.35E-01
215,9.35E-01
216,9.35E-01
217,9.35E-01
218,9.35E-01
219,9.35E-01
220,9.35E-01
221,9.35E-01
222,9.36E-01
223,9.36E-01
224,9.36E-01
225,9.36E-01
226,9.37E-01
227,9.37E-01
228,9.38E-01
229,0.93819
230,0.93871
231,0.939
232,0.93913
233,0.93915
234,0.93915
235,0.93921
236,0.93933
237,0.93947
238,0.93967
239,0.93991
240,0.94019
241,0.94049
242,0.9408
243,0.9411
244,0.94139
245,0.94164
246,0.94188
247,0.9421
248,0.94231
249,0.94254
250,0.94278
251,0.94303
252,0.94327
253,0.94352
254,0.94377
255,0.94402
256,0.94427
257,0.94452
258,0.94476
259,0.94499
260,0.94521
261,0.94542
262,0.94556
263,0.94569
264,0.94581
265,0.94592
266,0.94602
267,0.9461
268,0.94617
269,0.94622
270,0.94625
271,0.94625
272,0.94623
273,0.94618
274,0.94611
275,0.946
276,0.94584
277,0.94563
278,0.94539
279,0.94511
280,0.9448
281,0.94445
282,0.94407
283,0.94366
284,0.94321
285,0.94273
286,0.9422
287,0.94164
288,0.94104
289,0.94039
290,0.93968
291,0.9389
292,0.93803
293,0.93704
294,0.93594
295,0.93472
296,0.93335
297,0.93181
298,0.93008
299,0.92813
300,0.92596
301,0.92362
302,0.92113
303,0.91858
304,0.9161
305,0.91387
306,0.91204
307,0.91073
308,0.90998
309,0.9098
310,0.91012
311,0.9108
312,0.91177
313,0.91294
314,0.91423
315,0.91557
316,0.91692
317,0.91824
318,0.91952
319,0.92079
320,0.92199
321,0.92312
322,0.92417
323,0.92517
324,0.92609
325,0.92695
326,0.92776
327,0.92848
328,0.92913
329,0.92974
330,0.9303
331,0.93083
332,0.93132
333,0.93177
334,0.9322
335,0.93259
336,0.93292
337,0.93322
338,0.93351
339,0.93377
340,0.93402
341,0.93425
342,0.93447
343,0.93468
344,0.93488
345,0.93509
346,0.93532
347,0.93553
348,0.93574
349,0.93593
350,0.93611
351,0.93629
352,0.93646
353,0.93662
354,0.93677
355,0.93689
356,0.937
357,0.9371
358,0.9372
359,0.9373
360,0.93739
361,0.93747
362,0.93755
363,0.93763
364,0.93771
365,0.93776
366,0.93779
367,0.93782
368,0.93784
369,0.93786
370,0.93788
371,0.9379
372,0.93792
373,0.93793
374,0.93794
375,0.93795
376,0.93797
377,0.93799
378,0.93801
379,0.93803
380,0.93805
381,0.93807
382,0.93808
383,0.9381
384,0.93812
385,0.93814
386,0.93817
387,0.93819
388,0.9382
389,0.93821
390,0.93821
391,0.93822
392,0.93824
393,0.93826
394,0.93829
395,0.93832
396,0.93836
397,0.9384
398,0.93845
399,0.93851
400,0.93858
401,0.93865
402,0.93873
403,0.93882
404,0.93894
405,0.93907
406,0.93921
407,0.93937
408,0.93956
409,0.93976
410,0.93998
411,0.94023
412,0.94051
413,0.9408
414,0.94114
415,0.94149
416,0.94187
417,0.94225
418,0.94261
419,0.94289
420,0.94303
421,0.9429
422,0.94227
423,0.94061
424,0.93693
425,0.92928
,0.91492
,0.89395
,0.87696
,0.87485
,0.88257
,0.89184
,0.8996
,0.90556
,0.91011
,0.91367
,0.91651
,0.91881
,0.92072
,0.92232
,0.92368
,0.92485
,0.92587
,0.92677
,0.92758
,0.92831
,0.92895
,0.92954
,0.93007
,0.93055
,0.931
,0.93138
,0.93173
,0.93206
,0.93236
,0.93264
,0.9329
,0.93315
,0.93337
,0.93359
,0.9338
,0.934
,0.93419
,0.93437
,0.93454
,0.93471
,0.93487
,0.93502
,0.93516
,0.9353
,0.93543
,0.93556
,0.93568
,0.9358
,0.93591
,0.93602
,0.93613
,0.93623
,0.93629
,0.93636
,0.93642
,0.93648
,0.93654
,0.9366
,0.93665
,0.93671
,0.93676
,0.93681
,0.93686
,0.93691
,0.93696
,0.937
,0.93705
,0.93709
,0.93714
,0.93718
,0.93722
,0.93724
,0.93727
,0.93729
,0.93731
,0.93732
,0.93734
,0.93735
,0.93736
,0.93737
,0.93739
,0.9374
,0.93742
,0.93743
,0.93744
,0.93746
,0.93748
,0.93749
,0.93751
,0.93752
,0.93754
,0.93755
,0.93756
,0.93757
,0.93758
,0.93759
,0.93759
,0.9376
,0.93761
,0.93762
,0.93763
,0.93764
,0.93764
,0.9376
,0.93757
,0.93753
,0.9375
,0.93747
,0.93744
,0.93741
,0.93738
,0.93735
,0.93732
,0.93729
,0.93727
,0.93726
,0.93724
,0.93723
,0.93722
,0.93721
,0.9372
,0.93719
,0.93717
,0.93717
,0.93716
,0.93704
,0.93699
,0.93694
,0.9369
,0.93685
,0.93681
,0.93676
,0.93672
,0.93668
,0.93664
,0.9366
,0.93656
,0.93652
,0.93648
,0.93643
,0.93638
,0.93632
,0.93628
,0.93623
,0.93618
,0.93613
,0.93609
,0.93604
,0.936
,0.93595
,0.93591
,0.93586
,0.93578
,0.93569
,0.93561
,0.93553
,0.93546
,0.93538
,0.9353
,0.93523
,0.93515
,0.93508
,0.93501
,0.93494
,0.93487
,0.93481
,0.93474
,0.93468
,0.93461
,0.93455
,0.93449
,0.93443
,0.93437
,0.93432
,0.93426
,0.93423
,0.9342
,0.93418
,0.93415
,0.93412
,0.93405
,0.93399
,0.93393
,0.93386
,0.9338
,0.93374
,0.93369
,0.93363
,0.93357
,0.93352
,0.93346
,0.93341
,0.93336
,0.93331
,0.93325
,0.93317
,0.93309
,0.93301
,0.93293
,0.93285
,0.93278
,0.9327
,0.93263
,0.93255
,0.93248
,0.93241
,0.93234
,0.93227
,0.93221
